Gene_acc,Gene_id,log_FDR,srank,desc2,BSF_rank2,Log_Intensity
0,Tb11.v5.0765,2,661.404659,TbPIGA,6473.5,9.875940543
1,Tb927.5.3680,2,441.432077,TbPIGH,7037,9.446645882
2,Tb927.10.10110,2,341.436189,TbPIGP,6184,9.009918085
3,Tb927.10.6140,2,225.351104,TbPIGC,6796.5,8.72932681
4,Tb927.3.4570,1.920818754,191.344078,TbPIGQ,5284,9.027634966
5,Tb927.3.2480,1.920818754,172.718617,"Arv1-like family, putative",7125,8.68068897
6,Tb927.2.2460,1.668977829,107.118431,"ubiquitin-conjugating enzyme E2, putative",2537,7.710058101
7,Tb927.4.780,1.602059991,97.868516,TbPIGY,7125,7.401021229
9,Tb927.11.3660,1.273028416,72.984713,"dynein light chain Tctex-type, putative",1400,7.044735697
11,Tb927.8.7410,0.798138784,43.732532,"calreticulin, putative",110.5,8.353704704
14,Tb927.7.3920,0.739189509,40.470613,"hypothetical protein, conserved",1274,7.796588208
16,Tb927.6.2050,0.739189509,38.454486,"ribosome biogenesis regulatory protein (RRS1), putative",3593,7.856444905
17,Tb927.4.1950,0.739189509,38.127361,NADPH-dependent diflavin oxidoreductase 1,2404,7.58531406
19,Tb927.10.13730,0.567784567,32.044847,"60S ribosomal protein L7, putative",3207,7.78629702
22,Tb927.5.4410,0.39184852,26.130819,"hypothetical protein, conserved",4087.5,7.851258349
23,Tb927.11.10810,0.391655852,25.679338,pumillio/PUF RNA binding protein 11,4186,8.539703239
24,Tb927.10.5300,0.391655852,25.54179,"eukaryotic translation initiation factor 6 (eIF-6), putative",1236.5,7.857682204
26,Tb927.9.7670,0.382758451,24.718823,"hypothetical protein, conserved",2644,7.778346639
27,Tb927.7.270,0.281323964,22.228922,Ribosome production factor 2 homolog,2121,8.456047028
28,Tb927.11.10030,0.241769592,21.216554,"60S ribosomal protein L29, putative",1054.5,8.998973854
29,Tb927.11.2570,0.241769592,21.16574,"hypothetical protein, conserved",1110,7.778303227
30,Tb927.10.11800,0.241769592,20.944005,"Axonemal inner arm dynein light chain, putative",2172,7.502672878
32,Tb927.8.5860,0.241769592,20.420195,mitochondrial ribosomal protein L17,6058,7.196176185
33,Tb927.11.900,0.239668004,19.926985,"isocitrate dehydrogenase, putative",343,7.914041532
34,Tb927.2.2390,0.239668004,19.749959,"hypothetical protein, conserved",3348,8.218088903
